batch,attack,seed,round,cid,principal_id,attack_active,valid,coherence,trainable_residual_norm,sketch_norm,loo_residual_ratio,aggregation_weight,existing_cumulative_q
clean_seed103,none,103,6,12,12,False,False,,3.0188712146110888,1.0,0.9972709702707929,0.1,1.0
clean_seed103,none,103,6,13,13,False,False,,3.0312842432744196,0.9999999999999999,1.0041118112635123,0.1,1.0
clean_seed103,none,103,6,14,14,False,False,,2.9666330406672103,0.9999999999999999,0.9800143168030837,0.1,1.0
clean_seed103,none,103,6,17,17,False,False,,2.9973967030711144,1.0,0.990176958821775,0.1,1.0
clean_seed103,none,103,6,2,2,False,True,0.48858415134625344,3.0027906087874863,0.9999999999999999,0.9919588121056384,0.1,1.0
clean_seed103,none,103,6,4,4,False,False,,3.027132348785168,1.0,1.0027364977128193,0.1,1.0
clean_seed103,none,103,6,5,5,False,False,,3.067401126078614,1.0,1.016075515653879,0.1,1.0
clean_seed103,none,103,6,7,7,False,False,,2.9834778898937375,1.0,0.9855789394510783,0.1,1.0
clean_seed103,none,103,6,8,8,False,True,0.5159646940703548,3.0617212339105166,1.0,1.0141940534236893,0.1,1.0
clean_seed103,none,103,7,0,0,False,False,,2.990957559336891,1.0,0.9897091790683371,0.1,1.0
clean_seed103,none,103,7,1,1,False,True,0.47971677866843476,2.956117163328729,1.0,0.9781804766218543,0.1,1.0
clean_seed103,none,103,7,14,14,False,True,0.5154236520532576,3.022057006839554,1.0,1.0003162760809583,0.1,1.0
clean_seed103,none,103,7,15,15,False,False,,3.0604651412777817,0.9999999999999999,1.013029564389389,0.1,1.0
clean_seed103,none,103,7,17,17,False,False,,3.056184065704269,1.0,1.0116125065491084,0.1,1.0
clean_seed103,none,103,7,18,18,False,False,,2.9916832063541605,0.9999999999999999,0.9899492959872527,0.1,1.0
clean_seed103,none,103,7,19,19,False,False,,2.9797002166234274,1.0,0.9859841193861452,0.1,1.0
clean_seed103,none,103,7,3,3,False,False,,3.04005526791843,1.0,1.0062737922554073,0.1,1.0
clean_seed103,none,103,7,6,6,False,True,0.5140789891687043,3.021101504695472,0.9999999999999999,0.9996838239179738,0.1,1.0
clean_seed103,none,103,7,7,7,False,False,,3.0251508866749313,0.9999999999999999,1.0013403660794467,0.1,1.0
clean_seed103,none,103,8,0,0,False,True,0.511716639641707,2.987955294918365,1.0,0.9794742506166942,0.1,1.0
clean_seed103,none,103,8,10,10,False,False,,3.0215555037738033,1.0,0.9904886521524923,0.1,1.0
clean_seed103,none,103,8,11,11,False,False,,3.0312311842759816,1.0,0.9936604130972411,0.1,1.0
clean_seed103,none,103,8,12,12,False,False,,3.0505705413257123,1.0,1.0063800336807203,0.1,1.0
